:START_ID¶:END_ID¶:TYPE
Term1042¶Term1377¶Used_by_Term
Term1042¶Term1366¶Used_by_Term
Term1285¶Term1162¶Used_by_Term
Term1285¶Term1313¶Used_by_Term
Term1281¶Term1398¶Used_by_Term
Term1426¶Term1199¶Used_by_Term
Term1178¶Term1209¶Used_by_Term
Term1178¶Term1208¶Used_by_Term
Term1209¶Term1042¶Used_by_Term
Term1209¶Term1050¶Used_by_Term
Term1043¶Term1042¶Used_by_Term
Term1043¶Term1437¶Used_by_Term
Term1043¶Term1395¶Used_by_Term
Term1043¶Term1422¶Used_by_Term
Term1043¶Term1419¶Used_by_Term
Term1043¶Term1433¶Used_by_Term
Term1043¶Term1359¶Used_by_Term
Term1043¶Term1432¶Used_by_Term
Term1043¶Term1469¶Used_by_Term
Term1031¶Term1168¶Used_by_Term
Term1031¶Term1177¶Used_by_Term
Term1031¶Term1039¶Used_by_Term
Term1031¶Term1024¶Used_by_Term
Term1459¶Term1458¶Used_by_Term
Term1435¶Term1437¶Used_by_Term
Term1435¶Term1135¶Used_by_Term
Term1435¶Term1436¶Used_by_Term
Term1094¶Term1435¶Used_by_Term
Term1094¶Term1135¶Used_by_Term
Term1169¶Term1175¶Used_by_Term
Term1169¶Term1182¶Used_by_Term
Term1465¶Term1184¶Used_by_Term
Term1465¶Term1322¶Used_by_Term
Term1145¶Term1395¶Used_by_Term
Term1145¶Term1396¶Used_by_Term
Term1145¶Term1134¶Used_by_Term
Term1145¶Term1174¶Used_by_Term
Term1145¶Term1431¶Used_by_Term
Term1145¶Term1127¶Used_by_Term
Term1145¶Term1454¶Used_by_Term
Term1145¶Term1017¶Used_by_Term
Term1121¶Term1397¶Used_by_Term
Term1121¶Term1787¶Used_by_Term
Term1121¶Term1025¶Used_by_Term
Term1121¶Term1444¶Used_by_Term
Term1121¶Term1069¶Used_by_Term
Term1121¶Term1167¶Used_by_Term
Term1122¶Term1397¶Used_by_Term
Term1122¶Term1787¶Used_by_Term
Term1122¶Term1025¶Used_by_Term
Term1122¶Term1444¶Used_by_Term
Term1122¶Term1069¶Used_by_Term
Term1122¶Term1167¶Used_by_Term
Term1122¶Term1074¶Used_by_Term
Term1020¶Term1377¶Used_by_Term
Term1020¶Term1422¶Used_by_Term
Term1020¶Term1094¶Used_by_Term
Term1020¶Term1334¶Used_by_Term
Term1020¶Term1347¶Used_by_Term
Term1020¶Term1408¶Used_by_Term
Term1020¶Term1050¶Used_by_Term
Term1020¶Term1054¶Used_by_Term
Term1020¶Term1353¶Used_by_Term
Term1020¶Term1361¶Used_by_Term
Term1020¶Term1180¶Used_by_Term
Term1020¶Term1310¶Used_by_Term
Term1020¶Term1144¶Used_by_Term
Term1020¶Term1189¶Used_by_Term
Term1020¶Term1213¶Used_by_Term
Term1020¶Term1157¶Used_by_Term
Term1020¶Term1100¶Used_by_Term
Term1020¶Term1403¶Used_by_Term
Term1020¶Term1346¶Used_by_Term
Term1020¶Term1784¶Used_by_Term
Term1020¶Term1407¶Used_by_Term
Term1020¶Term1067¶Used_by_Term
Term1020¶Term1783¶Used_by_Term
Term1020¶Term1027¶Used_by_Term
Term1020¶Term1132¶Used_by_Term
Term1020¶Term1190¶Used_by_Term
Term1020¶Term1073¶Used_by_Term
Term1020¶Term1074¶Used_by_Term
Term1020¶Term1374¶Used_by_Term
Term1020¶Term1421¶Used_by_Term
Term1021¶Term1357¶Used_by_Term
Term1021¶Term1358¶Used_by_Term
Term1021¶Term1444¶Used_by_Term
Term1018¶Term1134¶Used_by_Term
Term1018¶Term1135¶Used_by_Term
Term1018¶Term1021¶Used_by_Term
Term1018¶Term1443¶Used_by_Term
Term1018¶Term1352¶Used_by_Term
Term1018¶Term1331¶Used_by_Term
Term1018¶Term1022¶Used_by_Term
Term1018¶Term1415¶Used_by_Term
Term1018¶Term1444¶Used_by_Term
Term1018¶Term1132¶Used_by_Term
Term1195¶Term1105¶Used_by_Term
Term1195¶Term1392¶Used_by_Term
Term1075¶Term1195¶Used_by_Term
Term1075¶Term1320¶Used_by_Term
Term1075¶Term1023¶Used_by_Term
Term1075¶Term1103¶Used_by_Term
Term1075¶Term1460¶Used_by_Term
Term1075¶Term1015¶Used_by_Term
Term1075¶Term1212¶Used_by_Term
Term1075¶Term1106¶Used_by_Term
Term1075¶Term1213¶Used_by_Term
Term1075¶Term1455¶Used_by_Term
Term1075¶Term1100¶Used_by_Term
Term1075¶Term1038¶Used_by_Term
Term1075¶Term1039¶Used_by_Term
Term1075¶Term1187¶Used_by_Term
Term1075¶Term1069¶Used_by_Term
Term1075¶Term1108¶Used_by_Term
Term1075¶Term1181¶Used_by_Term
Term1075¶Term1184¶Used_by_Term
Term1075¶Term1306¶Used_by_Term
Term1041¶Term1460¶Used_by_Term
Term1041¶Term1047¶Used_by_Term
Term1320¶Term1045¶Used_by_Term
Term1320¶Term1015¶Used_by_Term
Term1023¶Term1021¶Used_by_Term
Term1023¶Term1019¶Used_by_Term
Term1201¶Term1419¶Used_by_Term
Term1201¶Term1420¶Used_by_Term
Term1201¶Term1356¶Used_by_Term
Term1103¶Term1031¶Used_by_Term
Term1103¶Term1041¶Used_by_Term
Term1103¶Term1030¶Used_by_Term
Term1103¶Term1168¶Used_by_Term
Term1045¶Term1015¶Used_by_Term
Term1045¶Term1189¶Used_by_Term
Term1045¶Term1106¶Used_by_Term
