ID¶Signifier¶Description
RuleGr1004¶"Complete CSD"¶
RuleGr1008¶"Diagram plan symbols and text"¶
RuleGr1003¶"Form of Boundaries"¶
RuleGr1006¶"Parcel areas"¶
RuleGr1005¶"Parcel Definition"¶
RuleGr1001¶"Parcel Identifier"¶"MooBaa"
RuleGr1009¶"Record of simple boundary reinstatement"¶
RuleGr1002¶"Survey Mark Information"¶
